Date,AR,lambda1,lambda1_rmt,excess_lambda1,n_assets
2015-04-07,0.2615318863036247,11.507402997359488,3.3698344864873877,3.414827358287989,44
2015-04-08,0.2602201990507422,11.449688758232654,3.3698344864873877,3.397700630147998,44
2015-04-09,0.2591716680092188,11.403553392405627,3.3698344864873877,3.3840099382128237,44
2015-04-10,0.23822144135616205,10.48174341967113,3.3698344864873877,3.1104623867141257,44
2015-04-13,0.2392198024846426,10.525671309324274,3.3698344864873877,3.12349800903602,44
2015-04-15,0.2398010661624222,10.551246911146578,3.3698344864873877,3.1310875811425607,44
2015-04-16,0.2411151858041345,10.609068175381918,3.3698344864873877,3.1482460690348284,44
2015-04-17,0.24512611274238807,10.785548960665075,3.3698344864873877,3.200616826705813,44
2015-04-20,0.254616233816558,11.203114287928553,3.3698344864873877,3.324529537830903,44
2015-04-21,0.2581979633457967,11.360710387215057,3.3698344864873877,3.371296255875497,44
2015-04-22,0.24911289170619344,10.960967235072513,3.3698344864873877,3.252672283764859,44
2015-04-23,0.24758525978480742,10.893751430531527,3.3698344864873877,3.232725961531375,44
2015-04-24,0.24923902971997133,10.966517307678739,3.3698344864873877,3.2543192704725095,44
2015-04-27,0.2502182577165351,11.009603339527544,3.3698344864873877,3.2671050710872205,44
2015-04-28,0.250216726031343,11.009535945379088,3.3698344864873877,3.2670850718413447,44
2015-04-29,0.2487376894653555,10.944458336475641,3.3698344864873877,3.2477732601887546,44
2015-04-30,0.24584346389947,10.81711241157668,3.3698344864873877,3.209983295901309,44
2015-05-04,0.25407184421408086,11.17916114541956,3.3698344864873877,3.3174214313037003,44
2015-05-05,0.2547258514470378,11.207937463669666,3.3698344864873877,3.325960817545219,44
2015-05-06,0.2768157706247836,12.179893907490477,3.3698344864873877,3.6143893583884665,44
2015-05-07,0.2765482089548946,12.168121194015367,3.3698344864873877,3.610895800018666,44
2015-05-08,0.2888086225443936,12.707579391953317,3.3698344864873877,3.770980278974861,44
2015-05-11,0.2994088440216859,13.17398913695418,3.3698344864873877,3.9093875944887557,44
2015-05-12,0.30900950595058113,13.596418261825573,3.3698344864873877,4.034743639886617,44
2015-05-13,0.31265140502421873,13.756661821065624,3.3698344864873877,4.082295992942118,44
2015-05-14,0.30986626942856854,13.634115854857015,3.3698344864873877,4.045930418698041,44
2015-05-15,0.3079523362303363,13.549902794134798,3.3698344864873877,4.020940152541083,44
2015-05-18,0.3118975424123182,13.723491866142005,3.3698344864873877,4.072452792910596,44
2015-05-19,0.3084504869869921,13.571821427427654,3.3698344864873877,4.027444517482669,44
2015-05-20,0.30618673192296014,13.472216204610248,3.3698344864873877,3.9978866198420544,44
2015-05-21,0.30445608235825655,13.396067623763287,3.3698344864873877,3.9752894919557127,44
2015-05-22,0.3047590966202687,13.409400251291817,3.3698344864873877,3.9792459555689828,44
2015-05-25,0.30513236331163623,13.425823985711993,3.3698344864873877,3.984119706634809,44
2015-05-26,0.30767918659181576,13.537884210039895,3.3698344864873877,4.017373631946942,44
2015-05-27,0.3028946319763579,13.327363806959745,3.3698344864873877,3.9549016013696807,44
2015-05-28,0.30040763209628746,13.21793581223665,3.3698344864873877,3.922428791455162,44
2015-05-29,0.29939023954087285,13.173170539798402,3.3698344864873877,3.9091446753901886,44
2015-06-01,0.2944978574020993,12.957905725692363,3.3698344864873877,3.8452647385656284,44
2015-06-02,0.30304832686555633,13.33412638208448,3.3698344864873877,3.9569083987812013,44
2015-06-03,0.28902117715796477,12.716931794950455,3.3698344864873877,3.7737556090495694,44
2015-06-04,0.29693014560019787,13.06492640640871,3.3698344864873877,3.8770231768941237,44
2015-06-05,0.29778563449514805,13.10256791778652,3.3698344864873877,3.888193313447936,44
2015-06-08,0.2986442226809068,13.140345797959892,3.3698344864873877,3.8994039175072324,44
2015-06-09,0.2986041781864679,13.138583840204582,3.3698344864873877,3.898881055698329,44
2015-06-10,0.2967947803631154,13.058970335977076,3.3698344864873877,3.8752557101370715,44
2015-06-11,0.3057593702278875,13.453412290027053,3.3698344864873877,3.9923065491713445,44
2015-06-12,0.30414200252718576,13.382248111196176,3.3698344864873877,3.971188544973739,44
2015-06-15,0.30160262862163195,13.270515659351808,3.3698344864873877,3.938031886303291,44
2015-06-16,0.2985469036921334,13.136063762453873,3.3698344864873877,3.8981332214172046,44
2015-06-17,0.3020301828805651,13.289328046744867,3.3698344864873877,3.9436144712843912,44
2015-06-18,0.3005388628509177,13.223709965440378,3.3698344864873877,3.924142274187587,44
2015-06-19,0.30078658055254515,13.234609544311986,3.3698344864873877,3.927376729445053,44
2015-06-22,0.30469992245823213,13.406796588162216,3.3698344864873877,3.9784733172865856,44
2015-06-23,0.30340078563746226,13.349634568048337,3.3698344864873877,3.961510460403528,44
2015-06-24,0.3048191854375598,13.412044159252634,3.3698344864873877,3.980030536524344,44
2015-06-25,0.304057021135855,13.378508929977617,3.3698344864873877,3.970078941153862,44
2015-06-26,0.30518971255860644,13.428347352578687,3.3698344864873877,3.984868516962679,44
2015-06-29,0.2997562503795656,13.189275016700886,3.3698344864873877,3.9139236866345275,44
2015-06-30,0.3037293623913654,13.364091945220068,3.3698344864873877,3.965800694012835,44
2015-07-01,0.30191244479515955,13.28414757098702,3.3698344864873877,3.942077162618752,44
2015-07-02,0.30231230054578523,13.301741224014545,3.3698344864873877,3.947298087592389,44
2015-07-03,0.30061874014095125,13.227224566201855,3.3698344864873877,3.9251852336491186,44
2015-07-06,0.30019821794161533,13.208721589431079,3.3698344864873877,3.9196944664185707,44
2015-07-07,0.2986347338739298,13.13992829045291,3.3698344864873877,3.899280021954304,44
