Date,CSAD,Rm,abs_Rm,Rm_sq,D_up,D_down,N
2015-01-05,0.025847266792856444,-0.028681040057291517,0.028681040057291517,0.0008226020587679605,0,1,61
2015-01-06,0.026927136830332477,0.004450012115712691,0.004450012115712691,1.9802607829989738e-05,1,0,61
2015-01-07,0.01992850439340819,0.024824879179070287,0.024824879179070287,0.0006162746262554375,1,0,61
2015-01-08,0.01672295099375958,0.005621152011331448,0.005621152011331448,3.159734993449558e-05,1,0,61
2015-01-09,0.020714269117283003,-0.01950678971918484,0.01950678971918484,0.0003805148451484954,0,1,61
2015-01-12,0.023428574481916264,-0.01973196970608087,0.01973196970608087,0.0003893506284816931,0,1,61
2015-01-13,0.0169601345544326,0.0012611673816678543,0.0012611673816678543,1.5905431645829513e-06,1,0,61
2015-01-14,0.023969959155399265,-0.006935038168232301,0.006935038168232301,4.8094754394838825e-05,0,1,61
2015-01-15,0.018591675741873787,0.006625854283766509,0.006625854283766509,4.3901944989706995e-05,1,0,61
2015-01-16,0.018008636145537563,0.01603896754509321,0.01603896754509321,0.00025724847991255334,1,0,61
2015-01-19,0.02078547470085699,-0.029940442589296207,0.029940442589296207,0.0008964301024429422,0,1,61
2015-01-20,0.019804999789648992,0.005599922690365243,0.005599922690365243,3.13591341380675e-05,1,0,61
2015-01-21,0.024695040980463982,0.02434834221894489,0.02434834221894489,0.000592841768810854,1,0,61
2015-01-22,0.023990679707281873,0.006708227710594388,0.006708227710594388,4.500031901718642e-05,1,0,61
2015-01-23,0.021374088543707852,-0.017751282555033908,0.017751282555033908,0.00031510803234865113,0,1,61
2015-01-26,0.017980208892397802,-0.008840618773870799,0.008840618773870799,7.815654030491683e-05,0,1,61
2015-01-27,0.01942333014237648,-0.0027807256878136697,0.0027807256878136697,7.732435350866806e-06,0,1,61
2015-01-28,0.01869376866090973,-0.01477245521274641,0.01477245521274641,0.00021822543301259857,0,1,61
2015-01-29,0.022318576979844056,0.002453302855029879,0.002453302855029879,6.018694898497756e-06,1,0,61
2015-01-30,0.021148869880015818,-0.020558521256566296,0.020558521256566296,0.0004226527962566882,0,1,61
2015-02-02,0.02139157272011646,0.021068075115932085,0.021068075115932085,0.00044386378909055675,1,0,61
2015-02-03,0.021360743181134834,0.013484467695282644,0.013484467695282644,0.00018183086902512122,1,0,61
2015-02-04,0.018666236372471303,-0.0025079440711719622,0.0025079440711719622,6.289783464126596e-06,0,1,61
2015-02-05,0.015114351948328476,0.0036657825068514534,0.0036657825068514534,1.3437961387538127e-05,1,0,61
2015-02-06,0.022046223189769554,-0.015501481155595463,0.015501481155595463,0.00024029591801728124,0,1,61
2015-02-09,0.01990839988322611,0.013411124448535651,0.013411124448535651,0.00017985825897411068,1,0,61
2015-02-10,0.01854055738558526,-0.015562141543583227,0.015562141543583227,0.00024218024942251895,0,1,61
2015-02-11,0.01791211715001939,-0.0033922514871081487,0.0033922514871081487,1.1507370151787446e-05,0,1,61
2015-02-12,0.02117641469190439,0.01577924005495014,0.01577924005495014,0.00024898441671174297,1,0,61
