country,year,Rule_of_Law,Regulatory_Quality,Govt_Effectiveness,Control_of_Corruption,Political_Stability,Voice_Accountability,MktCap_GDP_pct,Portfolio_Inflows_USD,GDP_USD,country_name
USA,2012,1.3842726,1.4422743,1.5288502,1.263101,0.6207484,1.2638759,114.85397505198,239066000000.0,16253972230000.0,EUA
USA,2013,1.3016083,1.3908667,1.5525204,1.180704,0.5795227,1.1662268,142.697743735073,-62642000000.0,16843190993000.0,EUA
USA,2014,1.3412574,1.2856555,1.6003318,1.2391968,0.6681229,1.2001675,150.02603277454,154312000000.0,17550680174000.0,EUA
USA,2015,1.3770167,1.2919442,1.5727519,1.2367604,0.6658794,1.2887597,137.688185444872,-187306000000.0,18206020741000.0,EUA
USA,2016,1.3971578,1.4076516,1.5920786,1.2420313,0.3279152,1.2417637,146.306705272649,-139701000000.0,18695110842000.0,EUA
USA,2017,1.3200336,1.509025,1.5989168,1.3058193,0.1101294,1.1236482,164.91321885409,149634000000.0,19477336549000.0,EUA
USA,2018,1.1721068,1.484217,1.6426557,1.2504255,0.2904961,1.0530998,148.23078992826,156916000000.0,20533057312000.0,EUA
USA,2019,1.1235175,1.3675576,1.5492277,1.1719722,0.0546375,1.0249835,159.420819612207,-291427000000.0,21380976119000.0,EUA
USA,2020,1.0043814,1.2778639,1.4026997,1.124297,-0.146807,0.9561038,197.3833187889,687416000000.0,21060473613000.0,EUA
USA,2021,1.0279752,1.4642419,1.4427774,1.1247591,-0.126399999999999,0.8877304,208.228052204508,-53068000000.0,23315080560000.0,EUA
USA,2022,1.0518325,1.4588295,1.4713232,1.2023562,-0.1626087,0.922751,157.384175416952,2586000000.0,25604848907611.0,EUA
USA,2023,0.9606912,1.4306863,1.3585237,1.1951066,-0.193136399999999,0.8636176,179.463180379106,45460000000.0,27292170793214.4,EUA
USA,2024,0.9617896,1.3524886,1.3599787,1.0868914,-0.0951125,0.8869557,216.290842771421,305897000000.0,28750956130731.2,EUA
