country,year,Rule_of_Law,Regulatory_Quality,Govt_Effectiveness,Control_of_Corruption,Political_Stability,Voice_Accountability,MktCap_GDP_pct,Portfolio_Inflows_USD,GDP_USD,country_name
BRA,2019,-0.3861785,-0.099421,0.0428329,-0.372764,-0.722116299999999,0.2046798,63.3838250884009,-1809748191.07,1873288158838.63,Brasil
BRA,2020,-0.392171899999999,-0.1518853,-0.0873994999999999,-0.337231599999999,-0.427421599999999,0.166765,66.9581625438007,-5206084618.91,1476107292151.95,Brasil
BRA,2021,-0.4091435,-0.1510718,-0.0686133999999999,-0.404589,-0.3922756,0.0763533,48.8359583664535,7593798086.89999,1670647464062.96,Brasil
BRA,2022,-0.4398335,-0.1989311,-0.2352194,-0.4562788,-0.415796899999999,0.0304374,40.6992264217543,11452732157.19,1951923832083.87,Brasil
BRA,2023,-0.483012599999999,-0.2359869,-0.2666224,-0.451506099999999,-0.521574099999999,0.2490433,45.2367958179069,834210216.59,2191131869706.02,Brasil
BRA,2024,-0.446218,-0.2945386,-0.224002999999999,-0.4088904,-0.5205702,0.3164771,30.1448139796022,-17512844211.93,2185821648943.86,Brasil
CHN,2000,-0.6100298,-0.276320399999999,-0.4964127,-0.5104071,-0.2665282,-1.59329229999999,,6912000000.0,1223754919971.05,China
CHN,2001,,,,,,,,849000000.0,1355036590251.52,China
CHN,2002,-0.6505266,-0.6181034,-0.517367399999999,-0.5858007,-0.4590725,-1.63499289999999,,2249000000.0,1489821682050.54,China
CHN,2003,-0.7507446,-0.5718516,-0.505060899999999,-0.5215173,-0.5750816,-1.59290889999999,30.4636713403437,7729000000.0,1683903309843.85,China
CHN,2004,-0.7216823,-0.3199809,-0.3548072,-0.6390924,-0.449434399999999,-1.5572199,22.5643099574266,10923200000.0,1984196551300.44,China
CHN,2005,-0.8350576,-0.275588599999999,-0.4690918,-0.667396,-0.5590294,-1.4771405,17.3395191009478,20569000000.0,2317551298052.05,China
CHN,2006,-0.8515222,-0.1592207,-0.3960377,-0.6865856,-0.5305461,-1.4501031,41.033691444197,42861200000.0,2791498472804.33,China
CHN,2007,-0.72761,-0.1438419,-0.245126899999999,-0.614178,-0.5003284,-1.46529209999999,124.272951099968,18478120465.0191,3604055822571.63,China
CHN,2008,-0.694980199999999,-0.0727936,-0.1403096,-0.506852299999999,-0.553233499999999,-1.4917954,38.1112495628245,8464027990.96817,4667346414521.95,China
CHN,2009,-0.7010099,-0.139326099999999,-0.148319999999999,-0.5795465,-0.310643499999999,-1.48387119999999,68.8524786238225,29116669021.7512,5189577094997.58,China
CHN,2010,-0.7004332,-0.1275767,-0.1269778,-0.5891592,-0.6176124,-1.49515209999999,65.0431667921056,31357093655.533,6192564874453.29,China
CHN,2011,-0.5970818,-0.0991737999999999,-0.104167,-0.440116499999999,-0.6326472,-1.3691389,44.4762288163661,5308427622.574,7671757207851.29,China
