Date,DFF,SOFR,SONIA,T10Y2Y
2015-05-14,0.13,,0.4615,1.67
2015-05-15,0.13,,0.4605,1.59
2015-05-16,0.13,,0.4605,1.59
2015-05-17,0.13,,0.4605,1.59
2015-05-18,0.13,,0.4605,1.65
2015-05-19,0.12,,0.4644,1.64
2015-05-20,0.12,,0.4661,1.66
2015-05-21,0.12,,0.4596,1.59
2015-05-22,0.13,,0.47,1.57
2015-05-23,0.13,,0.47,1.57
2015-05-24,0.13,,0.47,1.57
2015-05-25,0.13,,0.47,1.57
2015-05-26,0.12,,0.4624,1.5
2015-05-27,0.12,,0.4629,1.5
2015-05-28,0.12,,0.4638,1.51
2015-05-29,0.08,,0.4506,1.51
2015-05-30,0.08,,0.4506,1.51
2015-05-31,0.08,,0.4506,1.51
2015-06-01,0.12,,0.4603,1.55
2015-06-02,0.12,,0.4554,1.63
2015-06-03,0.13,,0.4602,1.69
2015-06-04,0.13,,0.4625,1.65
2015-06-05,0.13,,0.4592,1.68
2015-06-06,0.13,,0.4592,1.68
2015-06-07,0.13,,0.4592,1.68
2015-06-08,0.13,,0.4599,1.69
2015-06-09,0.13,,0.4593,1.7
2015-06-10,0.13,,0.4639,1.75
2015-06-11,0.13,,0.4621,1.66
2015-06-12,0.13,,0.4596,1.65
2015-06-13,0.13,,0.4596,1.65
2015-06-14,0.13,,0.4596,1.65
2015-06-15,0.13,,0.4587,1.64
2015-06-16,0.14,,0.4626,1.61
2015-06-17,0.14,,0.4613,1.65
2015-06-18,0.14,,0.4603,1.69
2015-06-19,0.13,,0.4584,1.61
2015-06-20,0.13,,0.4584,1.61
2015-06-21,0.13,,0.4584,1.61
2015-06-22,0.13,,0.4602,1.69
2015-06-23,0.13,,0.4613,1.72
2015-06-24,0.13,,0.4561,1.7
2015-06-25,0.13,,0.4573,1.72
2015-06-26,0.13,,0.4577,1.77
2015-06-27,0.13,,0.4577,1.77
2015-06-28,0.13,,0.4577,1.77
2015-06-29,0.14,,0.4551,1.69
2015-06-30,0.08,,0.3947,1.71
2015-07-01,0.13,,0.4581,1.74
2015-07-02,0.13,,0.4528,1.76
2015-07-03,0.13,,0.4564,1.76
2015-07-04,0.13,,0.4564,1.76
2015-07-05,0.13,,0.4564,1.76
2015-07-06,0.13,,0.4515,1.7
2015-07-07,0.13,,0.4539,1.69
2015-07-08,0.13,,0.457,1.67
2015-07-09,0.13,,0.4549,1.72
2015-07-10,0.13,,0.4525,1.77
2015-07-11,0.13,,0.4525,1.77
2015-07-12,0.13,,0.4525,1.77
2015-07-13,0.13,,0.4521,1.75
2015-07-14,0.13,,0.4545,1.75
2015-07-15,0.13,,0.4561,1.72
2015-07-16,0.14,,0.4578,1.69
2015-07-17,0.13,,0.457,1.66
2015-07-18,0.13,,0.457,1.66
2015-07-19,0.13,,0.457,1.66
2015-07-20,0.14,,0.4566,1.67
2015-07-21,0.13,,0.4597,1.64
2015-07-22,0.13,,0.4524,1.58
2015-07-23,0.13,,0.4548,1.57
2015-07-24,0.13,,0.4535,1.57
2015-07-25,0.13,,0.4535,1.57
2015-07-26,0.13,,0.4535,1.57
2015-07-27,0.14,,0.4536,1.55
2015-07-28,0.14,,0.4563,1.57
2015-07-29,0.14,,0.4551,1.59
2015-07-30,0.14,,0.4571,1.56
2015-07-31,0.08,,0.4481,1.53
2015-08-01,0.08,,0.4481,1.53
2015-08-02,0.08,,0.4481,1.53
2015-08-03,0.14,,0.4573,1.48
2015-08-04,0.14,,0.4575,1.49
2015-08-05,0.14,,0.4563,1.55
2015-08-06,0.14,,0.4591,1.52
2015-08-07,0.14,,0.4594,1.45
2015-08-08,0.14,,0.4594,1.45
2015-08-09,0.14,,0.4594,1.45
2015-08-10,0.14,,0.459,1.51
2015-08-11,0.15,,0.4607,1.47
2015-08-12,0.15,,0.4589,1.47
2015-08-13,0.15,,0.4587,1.47
2015-08-14,0.14,,0.4613,1.47
2015-08-15,0.14,,0.4613,1.47
2015-08-16,0.14,,0.4613,1.47
2015-08-17,0.15,,0.4614,1.44
2015-08-18,0.15,,0.4525,1.46
2015-08-19,0.15,,0.455,1.45
2015-08-20,0.15,,0.4607,1.4
2015-08-21,0.15,,0.4628,1.41
2015-08-22,0.15,,0.4628,1.41
2015-08-23,0.15,,0.4628,1.41
2015-08-24,0.15,,0.4612,1.42
2015-08-25,0.15,,0.4612,1.45
2015-08-26,0.14,,0.4638,1.51
2015-08-27,0.14,,0.4604,1.5
2015-08-28,0.14,,0.4526,1.47
2015-08-29,0.14,,0.4526,1.47
2015-08-30,0.14,,0.4526,1.47
2015-08-31,0.08,,0.4526,1.47
2015-09-01,0.14,,0.4586,1.47
2015-09-02,0.14,,0.4594,1.48
2015-09-03,0.14,,0.4579,1.47
2015-09-04,0.14,,0.4511,1.42
2015-09-05,0.14,,0.4511,1.42
2015-09-06,0.14,,0.4511,1.42
2015-09-07,0.14,,0.4591,1.42
2015-09-08,0.14,,0.4536,1.46
2015-09-09,0.14,,0.4619,1.46
2015-09-10,0.14,,0.4641,1.48
2015-09-11,0.14,,0.4636,1.49
2015-09-12,0.14,,0.4636,1.49
2015-09-13,0.14,,0.4636,1.49
2015-09-14,0.14,,0.4606,1.45
2015-09-15,0.14,,0.4553,1.46
2015-09-16,0.14,,0.4528,1.48
2015-09-17,0.14,,0.4548,1.51
2015-09-18,0.14,,0.4582,1.44
2015-09-19,0.14,,0.4582,1.44
2015-09-20,0.14,,0.4582,1.44
2015-09-21,0.14,,0.4672,1.48
2015-09-22,0.14,,0.463,1.45
2015-09-23,0.14,,0.462,1.46
2015-09-24,0.14,,0.4615,1.46
2015-09-25,0.13,,0.4615,1.47
2015-09-26,0.13,,0.4615,1.47
2015-09-27,0.13,,0.4615,1.47
2015-09-28,0.13,,0.4584,1.43
2015-09-29,0.13,,0.4597,1.41
2015-09-30,0.07,,0.3518,1.42
2015-10-01,0.13,,0.4596,1.41
2015-10-02,0.13,,0.4599,1.41
2015-10-03,0.13,,0.4599,1.41
2015-10-04,0.13,,0.4599,1.41
2015-10-05,0.13,,0.4591,1.46
2015-10-06,0.13,,0.465,1.44
2015-10-07,0.13,,0.4621,1.43
2015-10-08,0.13,,0.4729,1.47
2015-10-09,0.13,,0.4692,1.47
2015-10-10,0.13,,0.4692,1.47
2015-10-11,0.13,,0.4692,1.47
2015-10-12,0.13,,0.4706,1.47
2015-10-13,0.13,,0.4577,1.42
2015-10-14,0.13,,0.4583,1.42
2015-10-15,0.13,,0.4603,1.43
2015-10-16,0.13,,0.4613,1.43
2015-10-17,0.13,,0.4613,1.43
2015-10-18,0.13,,0.4613,1.43
2015-10-19,0.13,,0.4642,1.43
2015-10-20,0.13,,0.4619,1.42
2015-10-21,0.13,,0.465,1.4
2015-10-22,0.12,,0.4649,1.43
2015-10-23,0.12,,0.4603,1.43
2015-10-24,0.12,,0.4603,1.43
2015-10-25,0.12,,0.4603,1.43
2015-10-26,0.12,,0.462,1.41
2015-10-27,0.12,,0.4633,1.4
2015-10-28,0.12,,0.46,1.37
2015-10-29,0.12,,0.4617,1.44
2015-10-30,0.07,,0.4482,1.41
2015-10-31,0.07,,0.4482,1.41
2015-11-01,0.07,,0.4482,1.41
2015-11-02,0.12,,0.4638,1.43
2015-11-03,0.12,,0.4629,1.43
2015-11-04,0.12,,0.4641,1.41
2015-11-05,0.12,,0.4646,1.41
2015-11-06,0.12,,0.4633,1.44
2015-11-07,0.12,,0.4633,1.44
2015-11-08,0.12,,0.4633,1.44
2015-11-09,0.12,,0.464,1.47
2015-11-10,0.12,,0.4667,1.45
2015-11-11,0.12,,0.4641,1.45
2015-11-12,0.12,,0.4611,1.43
2015-11-13,0.12,,0.4642,1.42
2015-11-14,0.12,,0.4642,1.42
2015-11-15,0.12,,0.4642,1.42
2015-11-16,0.13,,0.4625,1.39
2015-11-17,0.13,,0.4628,1.39
2015-11-18,0.12,,0.4639,1.37
2015-11-19,0.12,,0.4634,1.33
2015-11-20,0.12,,0.4627,1.33
2015-11-21,0.12,,0.4627,1.33
2015-11-22,0.12,,0.4627,1.33
2015-11-23,0.12,,0.4635,1.31
2015-11-24,0.12,,0.4628,1.31
2015-11-25,0.12,,0.4661,1.3
2015-11-26,0.12,,0.4621,1.3
2015-11-27,0.12,,0.4723,1.3
2015-11-28,0.12,,0.4723,1.3
2015-11-29,0.12,,0.4723,1.3
2015-11-30,0.08,,0.4539,1.27
2015-12-01,0.13,,0.4617,1.24
2015-12-02,0.13,,0.4638,1.24
2015-12-03,0.13,,0.4626,1.37
2015-12-04,0.13,,0.4622,1.32
2015-12-05,0.13,,0.4622,1.32
2015-12-06,0.13,,0.4622,1.32
2015-12-07,0.13,,0.4715,1.29
2015-12-08,0.13,,0.4615,1.3
2015-12-09,0.14,,0.4638,1.29
2015-12-10,0.14,,0.4613,1.29
2015-12-11,0.14,,0.4623,1.25
2015-12-12,0.14,,0.4623,1.25
2015-12-13,0.14,,0.4623,1.25
2015-12-14,0.15,,0.4642,1.26
2015-12-15,0.15,,0.4614,1.3
2015-12-16,0.15,,0.4644,1.28
2015-12-17,0.37,,0.4629,1.24
2015-12-18,0.37,,0.4673,1.22
2015-12-19,0.37,,0.4673,1.22
2015-12-20,0.37,,0.4673,1.22
2015-12-21,0.36,,0.4619,1.24
2015-12-22,0.36,,0.4617,1.25
2015-12-23,0.36,,0.4607,1.26
2015-12-24,0.36,,0.4604,1.22
2015-12-25,0.36,,0.4604,1.22
2015-12-26,0.36,,0.4604,1.22
2015-12-27,0.36,,0.4604,1.22
2015-12-28,0.36,,0.4604,1.19
2015-12-29,0.36,,0.4618,1.23
2015-12-30,0.35,,0.4618,1.23
2015-12-31,0.2,,0.3475,1.21
2016-01-01,0.2,,0.3475,1.21
2016-01-02,0.2,,0.3475,1.21
2016-01-03,0.2,,0.3475,1.21
2016-01-04,0.36,,0.4648,1.22
2016-01-05,0.36,,0.4676,1.21
2016-01-06,0.36,,0.4717,1.19
2016-01-07,0.36,,0.4668,1.2
2016-01-08,0.36,,0.466,1.19
2016-01-09,0.36,,0.466,1.19
2016-01-10,0.36,,0.466,1.19
2016-01-11,0.36,,0.4638,1.23
2016-01-12,0.36,,0.4636,1.19
2016-01-13,0.36,,0.4636,1.17
2016-01-14,0.36,,0.4635,1.2
2016-01-15,0.36,,0.468,1.18
2016-01-16,0.36,,0.468,1.18
2016-01-17,0.36,,0.468,1.18
2016-01-18,0.36,,0.4644,1.18
2016-01-19,0.36,,0.4632,1.18
2016-01-20,0.37,,0.4638,1.16
2016-01-21,0.37,,0.4693,1.18
2016-01-22,0.38,,0.4716,1.19
2016-01-23,0.38,,0.4716,1.19
2016-01-24,0.38,,0.4716,1.19
2016-01-25,0.38,,0.472,1.15
2016-01-26,0.38,,0.4669,1.16
2016-01-27,0.38,,0.468,1.18
2016-01-28,0.38,,0.4668,1.17
2016-01-29,0.29,,0.4517,1.18
2016-01-30,0.29,,0.4517,1.18
2016-01-31,0.29,,0.4517,1.18
2016-02-01,0.38,,0.466,1.16
2016-02-02,0.38,,0.4663,1.12
2016-02-03,0.38,,0.4671,1.16
2016-02-04,0.38,,0.4686,1.17
2016-02-05,0.38,,0.4672,1.12
2016-02-06,0.38,,0.4672,1.12
2016-02-07,0.38,,0.4672,1.12
2016-02-08,0.38,,0.4674,1.09
2016-02-09,0.38,,0.4671,1.05
2016-02-10,0.38,,0.4666,1.0
2016-02-11,0.38,,0.467,0.99
2016-02-12,0.38,,0.4678,1.03
2016-02-13,0.38,,0.4678,1.03
2016-02-14,0.38,,0.4678,1.03
2016-02-15,0.38,,0.4669,1.03
2016-02-16,0.38,,0.472,1.04
2016-02-17,0.37,,0.4627,1.07
2016-02-18,0.38,,0.4618,1.04
2016-02-19,0.38,,0.4624,1.0
2016-02-20,0.38,,0.4624,1.0
2016-02-21,0.38,,0.4624,1.0
2016-02-22,0.38,,0.4668,0.99
2016-02-23,0.38,,0.4608,0.98
2016-02-24,0.38,,0.4637,1.0
2016-02-25,0.37,,0.4632,0.99
2016-02-26,0.37,,0.4728,0.96
2016-02-27,0.37,,0.4728,0.96
2016-02-28,0.37,,0.4728,0.96
2016-02-29,0.29,,0.4545,0.96
2016-03-01,0.36,,0.4672,0.98
2016-03-02,0.37,,0.466,0.99
2016-03-03,0.37,,0.4666,0.98
2016-03-04,0.36,,0.4712,1.0
2016-03-05,0.36,,0.4712,1.0
2016-03-06,0.36,,0.4712,1.0
2016-03-07,0.36,,0.4688,1.0
2016-03-08,0.36,,0.4666,0.95
2016-03-09,0.36,,0.4665,1.0
2016-03-10,0.36,,0.4681,1.0
2016-03-11,0.36,,0.472,1.01
2016-03-12,0.36,,0.472,1.01
2016-03-13,0.36,,0.472,1.01
2016-03-14,0.36,,0.4689,1.0
2016-03-15,0.37,,0.466,0.99
2016-03-16,0.37,,0.467,1.07
2016-03-17,0.37,,0.4636,1.04
2016-03-18,0.37,,0.4664,1.04
2016-03-19,0.37,,0.4664,1.04
2016-03-20,0.37,,0.4664,1.04
2016-03-21,0.37,,0.4685,1.05
2016-03-22,0.37,,0.464,1.03
2016-03-23,0.37,,0.4694,1.01
2016-03-24,0.37,,0.4679,1.02
2016-03-25,0.37,,0.4679,1.02
2016-03-26,0.37,,0.4679,1.02
2016-03-27,0.37,,0.4679,1.02
2016-03-28,0.37,,0.4679,1.0
2016-03-29,0.37,,0.4656,1.03
2016-03-30,0.37,,0.4638,1.07
2016-03-31,0.25,,0.4128,1.05
2016-04-01,0.37,,0.4651,1.03
2016-04-02,0.37,,0.4651,1.03
2016-04-03,0.37,,0.4651,1.03
2016-04-04,0.37,,0.4632,1.03
2016-04-05,0.37,,0.4669,1.01
2016-04-06,0.37,,0.4666,1.03
2016-04-07,0.37,,0.4643,1.0
2016-04-08,0.37,,0.466,1.02
2016-04-09,0.37,,0.466,1.02
2016-04-10,0.37,,0.466,1.02
2016-04-11,0.37,,0.4665,1.03
2016-04-12,0.37,,0.4722,1.05
2016-04-13,0.37,,0.4696,1.02
2016-04-14,0.37,,0.4717,1.03
2016-04-15,0.37,,0.4719,1.02
2016-04-16,0.37,,0.4719,1.02
2016-04-17,0.37,,0.4719,1.02
2016-04-18,0.37,,0.4699,1.03
2016-04-19,0.37,,0.4706,1.02
2016-04-20,0.37,,0.4646,1.05
2016-04-21,0.37,,0.4641,1.06
2016-04-22,0.37,,0.4711,1.05
2016-04-23,0.37,,0.4711,1.05
2016-04-24,0.37,,0.4711,1.05
2016-04-25,0.37,,0.4679,1.06
2016-04-26,0.37,,0.4613,1.08
2016-04-27,0.37,,0.4594,1.04
2016-04-28,0.37,,0.4616,1.06
2016-04-29,0.3,,0.4584,1.06
2016-04-30,0.3,,0.4584,1.06
