quantile,param,coef,lower_ci,upper_ci,p_value
0.1,alpha,0.006623949775638691,0.006455300700549948,0.006792598850727434,0.0
0.1,beta1,0.12954751945596707,0.108193343457758,0.15090169545417614,6.960050803200405e-32
0.1,beta2,1.2883021587492212,0.9346532220749587,1.6419510954234835,1.1536243682994372e-12
0.25,alpha,0.007573337372068592,0.007404293118031763,0.007742381626105421,0.0
0.25,beta1,0.15409776985206933,0.13137627788729167,0.17681926181684698,3.365978317253441e-39
0.25,beta2,1.2574611743428739,0.8561229286683885,1.6587994200173592,9.190647392620788e-10
0.5,alpha,0.008908375096451607,0.008724186463774085,0.009092563729129128,0.0
0.5,beta1,0.19152887924158168,0.16854162999956196,0.2145161284836014,1.9606183893893399e-57
0.5,beta2,1.3675514715764532,1.0359845343405503,1.699118408812356,8.910784164688712e-16
0.75,alpha,0.01060483198478941,0.010329012695414825,0.010880651274163995,0.0
0.75,beta1,0.24483361382218868,0.2112176842510434,0.27844954339333394,9.537061994857334e-45
0.75,beta2,1.1946570722341814,0.7716218328629516,1.6176923116054112,3.349957836378541e-08
0.9,alpha,0.012690834986082533,0.012225626721599934,0.013156043250565132,0.0
0.9,beta1,0.27131755768543836,0.21515533826899103,0.3274797771018857,5.522201207053937e-21
0.9,beta2,3.71773087656004,3.0853480268262565,4.350113726293824,4.3821837911412345e-30
