Date,AR,lambda1,lambda1_rmt,excess_lambda1,n_assets
2015-04-06,0.37471204493948373,172.74225271710196,13.727621245736042,12.583553233649836,461
2015-04-07,0.36572920294293415,168.6011625566926,13.727621245736042,12.28189207282085,461
2015-04-08,0.3639527088667614,167.78219878757696,13.727621245736042,12.222233975146425,461
2015-04-09,0.3582915400987859,165.1723999855403,13.727621245736042,12.032121008353487,461
2015-04-10,0.3432919035226831,158.25756752395688,13.727621245736042,11.528404280028742,461
2015-04-13,0.3407023416123025,157.06377948327145,13.727621245736042,11.441441796193006,461
2015-04-14,0.3384084273493624,156.00628500805607,13.727621245736042,11.364407730619273,461
2015-04-15,0.3380523370137883,155.84212736335638,13.727621245736042,11.352449530304659,461
2015-04-16,0.3382738147963163,155.94422862110173,13.727621245736042,11.359887181440106,461
2015-04-17,0.3445715876141314,158.84750189011453,13.727621245736042,11.571378540142517,461
2015-04-20,0.34054589629649057,156.99165819268217,13.727621245736042,11.436188060727972,461
2015-04-21,0.33973120397950574,156.61608503455216,13.727621245736042,11.408829121301618,461
2015-04-22,0.33920889201787413,156.37529922023998,13.727621245736042,11.391288878166852,461
2015-04-23,0.32783520074175876,151.13202754195083,13.727621245736042,11.009338386932418,461
2015-04-24,0.3285672953221341,151.4695231435038,13.727621245736042,11.033923535044499,461
2015-04-27,0.329896895832234,152.08246897865985,13.727621245736042,11.078574084778047,461
2015-04-28,0.32548400148000584,150.04812468228266,13.727621245736042,10.930380580604185,461
2015-04-29,0.3172990176767593,146.27484714898605,13.727621245736042,10.655513036857768,461
2015-04-30,0.3215925492064194,148.25416518415938,13.727621245736042,10.799698107216415,461
2015-05-01,0.3126842365018861,144.14743302736952,13.727621245736042,10.500539783769412,461
2015-05-04,0.30964342926899036,142.7456208930045,13.727621245736042,10.39842361161756,461
2015-05-05,0.30997330248728905,142.8976924466402,13.727621245736042,10.40950139056509,461
2015-05-06,0.3142468428360478,144.86779454741804,13.727621245736042,10.553015118509018,461
2015-05-07,0.31288645804933846,144.240657160745,13.727621245736042,10.507330773388567,461
2015-05-08,0.3256386962914623,150.11943899036413,13.727621245736042,10.9355755307565,461
2015-05-11,0.32476182509338775,149.71520136805174,13.727621245736042,10.90612850456921,461
2015-05-12,0.3196824732593617,147.37362017256578,13.727621245736042,10.735554072657834,461
2015-05-13,0.32028799930893886,147.65276768142087,13.727621245736042,10.755888805373583,461
2015-05-14,0.32544776281129684,150.03141865600782,13.727621245736042,10.929163616209859,461
2015-05-15,0.3270429852069077,150.76681618038447,13.727621245736042,10.982734261204532,461
2015-05-18,0.32872912854143194,151.5441282576001,13.727621245736042,11.039358206701067,461
2015-05-19,0.33088421277196,152.53762208787356,13.727621245736042,11.111730092003631,461
2015-05-20,0.33280144571107273,153.42146647280452,13.727621245736042,11.176114472160208,461
2015-05-21,0.330377501357653,152.304028125878,13.727621245736042,11.094713745339194,461
2015-05-22,0.3314742202165292,152.80961551981994,13.727621245736042,11.131543680030099,461
2015-05-26,0.33984575778795667,156.66889434024807,13.727621245736042,11.4126760591469,461
2015-05-27,0.34590526278922673,159.4623261458336,13.727621245736042,11.616165924986053,461
2015-05-28,0.3470876953043453,160.0074275353032,13.727621245736042,11.655874289582645,461
2015-05-29,0.3494871292645352,161.11356659095077,13.727621245736042,11.736451910122048,461
2015-06-01,0.3505891736112135,161.6216090347694,13.727621245736042,11.773460684965425,461
2015-06-02,0.34925205498091266,161.00519734620076,13.727621245736042,11.728557662254183,461
2015-06-03,0.34589956304383723,159.45969856320897,13.727621245736042,11.615974516541895,461
2015-06-04,0.3500969879670493,161.3947114528097,13.727621245736042,11.756932141680466,461
2015-06-05,0.3377087461496405,155.6837319749843,13.727621245736042,11.340911086350191,461
2015-06-08,0.33995687657519036,156.7201201011627,13.727621245736042,11.416407642354045,461
2015-06-09,0.3268376683009492,150.6721650867376,13.727621245736042,10.975839323476245,461
2015-06-10,0.33636947242473664,155.06632678780358,13.727621245736042,11.29593569140531,461
2015-06-11,0.3250711354540241,149.8577934443051,13.727621245736042,10.916515743093703,461
2015-06-12,0.32616714114755546,150.36305206902307,13.727621245736042,10.953321728316737,461
2015-06-15,0.3148282115281558,145.13580551447984,13.727621245736042,10.572538600564952,461
2015-06-16,0.31727449231023047,146.26354095501625,13.727621245736042,10.654689427743893,461
2015-06-17,0.3107169455933375,143.24051191852857,13.727621245736042,10.434474360444693,461
2015-06-18,0.31934191651345545,147.21662351270294,13.727621245736042,10.72411752024628,461
2015-06-19,0.31488695999226973,145.16288855643631,13.727621245736042,10.574511487307065,461
2015-06-22,0.3165137718030045,145.91284880118508,13.727621245736042,10.629142965792948,461
2015-06-23,0.31434181295634056,144.911575772873,13.727621245736042,10.556204398331882,461
2015-06-24,0.29993172222533765,138.2685239458807,13.727621245736042,10.072285756633073,461
2015-06-25,0.30001401065807914,138.3064589133745,13.727621245736042,10.07504916092685,461
2015-06-26,0.298884307585272,137.7856657968104,13.727621245736042,10.037111552710432,461
2015-06-29,0.318658888586907,146.90174763856422,13.727621245736042,10.701180125012089,461
2015-06-30,0.31719709876876145,146.227862532399,13.727621245736042,10.65209040334057,461
2015-07-01,0.3201881210973588,147.6067238258824,13.727621245736042,10.752534702378298,461
2015-07-02,0.31976848813009956,147.4132730279759,13.727621245736042,10.73844261792728,461
2015-07-06,0.31874704423347877,146.94238739163376,13.727621245736042,10.704140561663278,461
2015-07-07,0.31909121466930157,147.10104996254796,13.727621245736042,10.715698468752498,461
2015-07-08,0.33426013199014376,154.09392084745633,13.727621245736042,11.22509997100333,461
2015-07-09,0.33514222438356944,154.50056544082554,13.727621245736042,11.254722335001427,461
2015-07-10,0.3448560671009267,158.97864693352727,13.727621245736042,11.580931910028323,461
2015-07-13,0.35015219565694594,161.42016219785205,13.727621245736042,11.758786122394731,461
2015-07-14,0.35267891266814066,162.58497874001284,13.727621245736042,11.843638153297215,461
2015-07-15,0.35293316491957977,162.7021890279263,13.727621245736042,11.852176434315849,461
2015-07-16,0.35352644506951025,162.97569117704415,13.727621245736042,11.87209992610091,461
2015-07-17,0.34406463926791714,158.61379870250977,13.727621245736042,11.55435423684763,461
2015-07-20,0.3401392256139838,156.8041830080465,13.727621245736042,11.422531274801283,461
2015-07-21,0.3436675654408998,158.4307476682548,13.727621245736042,11.54101973183921,461
2015-07-22,0.34192029010906505,157.625253740279,13.727621245736042,11.482342855958327,461
2015-07-23,0.34236514303448223,157.83033093889628,13.727621245736042,11.497281875249888,461
2015-07-24,0.3453878138404924,159.22378218046697,13.727621245736042,11.59878899120441,461
2015-07-27,0.34441036472962167,158.77317814035558,13.727621245736042,11.565964364705383,461
2015-07-28,0.3493262486169777,161.03940061242668,13.727621245736042,11.731049227661885,461
2015-07-29,0.35473066189951324,163.53083513567555,13.727621245736042,11.912539850010074,461
2015-07-30,0.3461201640155638,159.56139561117493,13.727621245736042,11.623382722679397,461
2015-07-31,0.33805832182563056,155.84488636161575,13.727621245736042,11.352650511830152,461
2015-08-03,0.33549541138415273,154.66338464809445,13.727621245736042,11.266583035726942,461
2015-08-04,0.32261365579639795,148.7248953221394,13.727621245736042,10.83398883607275,461
2015-08-05,0.31901270177262786,147.0648555171814,13.727621245736042,10.713061854242332,461
2015-08-06,0.31779970925681306,146.50566596739083,13.727621245736042,10.6723272258766,461
2015-08-07,0.30889404480232374,142.40015465387125,13.727621245736042,10.373257835774162,461
2015-08-10,0.31589131002256415,145.62589392040206,13.727621245736042,10.608239498568272,461
2015-08-11,0.3177663186429291,146.49027289439033,13.727621245736042,10.67120590465678,461
2015-08-12,0.3162279471614219,145.78108364141548,13.727621245736042,10.619544423014785,461
2015-08-13,0.3075055499238016,141.76005851487258,13.727621245736042,10.326629499550396,461
