model,param,coef,se,t,p
symmetric,alpha,0.009168972462440556,0.00018495262323349053,49.5747089289203,0.0
symmetric,beta1,0.24268044521214965,0.03200174082417222,7.583351372836669,3.3674125251538446e-14
symmetric,beta2,0.9459496959832572,0.3626903227824739,2.6081470515291287,0.009103383754493802
asymmetric,alpha,0.009214287572589686,0.00018662052607407354,49.37445931822282,0.0
asymmetric,beta1_up,0.2120506061827944,0.03732177390482911,5.681686157885355,1.3337323673961163e-08
asymmetric,beta1_dn,0.25684950985001925,0.031194279602642684,8.233865731852315,1.81266851124137e-16
asymmetric,beta2_up,1.6928729274894723,0.542898000841942,3.1182154380088263,0.0018194974968749153
asymmetric,beta2_dn,0.6644302420538217,0.30613961181055305,2.1703504428070812,0.029980307993365676
