quantile,param,coef,lower_ci,upper_ci,p_value
0.1,alpha,0.009062862891037877,0.00882468062121715,0.009301045160858603,0.0
0.1,beta1,0.13111342874489426,0.10570845604510454,0.15651840144468399,1.1364140493998139e-23
0.1,beta2,0.591190430548952,0.16580506073836232,1.0165758003595418,0.006468183873147673
0.25,alpha,0.01035961115698777,0.010152263868752658,0.01056695844522288,0.0
0.25,beta1,0.1501334400643495,0.1297767661208218,0.1704901140078772,8.735742141158628e-46
0.25,beta2,0.6916019260799255,0.400912503712023,0.9822913484478281,3.227778383412037e-06
0.5,alpha,0.011913213723153855,0.011684241620961945,0.012142185825345765,0.0
0.5,beta1,0.17323278373204073,0.15193553082324748,0.194530036640834,6.58557258879577e-55
0.5,beta2,1.3034288514512375,1.0633553231344344,1.5435023797680407,5.611169331875489e-26
0.75,alpha,0.013977466592163248,0.013645333149285717,0.01430960003504078,0.0
0.75,beta1,0.19124895303672934,0.1609378409522521,0.22156006512120657,2.8055577791876036e-34
0.75,beta2,2.357054277419766,2.093272198675646,2.620836356163886,2.4418250947664183e-65
0.9,alpha,0.016136111512060403,0.015586067126142456,0.01668615589797835,0.0
0.9,beta1,0.27231567459503186,0.22198547274894992,0.3226458764411138,8.190123153743286e-26
0.9,beta2,2.0675307341778115,1.701652978872124,2.433408489483499,5.818517583790635e-28
