Date,GPR,GPR_THREAT,GPR_ACT,GPR_BROAD,GPR_NARROW,GPR_RAW,GPR_THREAT_RAW,GPR_ACT_RAW,GPR_BROAD_RAW,GPR_NARROW_RAW
2015-01-01,128.77408778445857,132.51814381309208,107.82553770142584,104.41203060530874,133.09741387229676,424.0,366.0,63.0,630.0,376.0
2015-02-01,119.5210458507028,121.07298489894612,107.06547128119672,109.70808583181262,123.60208820721785,346.0,294.0,55.0,582.0,307.0
2015-03-01,96.26229806725155,100.80208042007419,69.64125173187854,111.09287715955143,103.85662940741123,296.0,260.0,38.0,626.0,274.0
2015-04-01,100.91005376741198,101.51571826633985,103.90802473614384,99.70382306524202,107.84404543113904,301.0,254.0,55.0,545.0,276.0
2015-05-01,86.23354716389052,91.85863717068628,51.73649359351384,86.06229950386842,87.89567083036373,263.0,235.0,28.0,481.0,230.0
2015-06-01,79.00085809940897,87.74130266851823,30.440682924218336,83.08829747010547,85.78109612356235,234.0,218.0,16.0,451.0,218.0
2015-07-01,104.28163921134231,105.19347822181469,90.40926742372176,115.63515321907285,106.34940119360847,312.0,264.0,48.0,634.0,273.0
2015-08-01,86.86716639686975,90.07010658296592,69.93201992948815,88.23274511566939,85.93087105224762,238.0,207.0,34.0,443.0,202.0
2015-09-01,77.36031564082543,80.95791643915182,55.233485264516844,91.68843581133524,80.7811992522252,221.0,194.0,28.0,480.0,198.0
2015-10-01,75.69739142106985,77.29657285831983,64.79679513008308,74.94598819340523,78.17556146412308,237.0,203.0,36.0,430.0,210.0
2015-11-01,236.9773380663248,250.38080516081166,169.64265350439774,171.33968266260933,256.2105085517522,677.0,600.0,86.0,897.0,628.0
2015-12-01,165.74545913495308,180.3934733459442,97.17068617736307,119.05833053174601,162.8284862056978,471.0,430.0,49.0,620.0,397.0
2016-01-01,142.4207313428758,151.91482762648377,86.40281682557233,108.95368235672815,146.13824755762099,418.0,374.0,45.0,586.0,368.0
2016-02-01,89.62000898283969,95.15497466824363,61.15685860105386,83.10011825506352,91.80507348098962,256.0,228.0,31.0,435.0,225.0
2016-03-01,96.42767010182085,98.31800802951496,85.80009817374781,76.50639285391367,92.42452879784744,304.0,260.0,48.0,442.0,250.0
2016-04-01,84.696249665211,89.70867566052402,58.743425543970616,68.61601689905075,89.98255591685943,260.0,231.0,32.0,386.0,237.0
2016-05-01,83.00171965868078,84.58686001320794,69.78395688997328,71.22744787736674,84.64753000143065,248.0,212.0,37.0,390.0,217.0
