bin,rm_lo,rm_hi,rm_mean,n_obs,alpha,beta1,beta2,se_beta2,t_beta2,p_beta2,r2
1,1.6606635302826696e-06,0.0017407480490922158,0.0008616215994053315,574,0.009792400132560069,0.39488460581327495,-432.8050938852879,532.7347808779085,-0.8124213199897635,0.416549916774566,0.005489972991988168
2,0.0017409150874698588,0.003769056303551888,0.002714534295825315,573,0.008256206905345927,0.9946539527283943,-116.89158784647627,378.10040098174005,-0.30915488992597345,0.7572037067165964,0.004810546226266865
3,0.003775156135358465,0.0068392217983462116,0.0052655062457417625,573,-0.0027033749949237464,4.534897319719995,-382.8033139879922,172.50396774816315,-2.2190986038468576,0.02648001701558991,0.030190794766931983
4,0.006842882258066139,0.011520883913594375,0.008782466291307672,573,0.014971402307937049,-1.001654918338141,61.526724831694544,70.8424830600366,0.8685003993938599,0.38512045375199566,0.0033889282475725313
5,0.011536374842062028,0.13820805796799876,0.019980847445726303,574,0.007171176650299194,0.37588900431159056,-0.22901860588024486,0.711680109761371,-0.32179992490872855,0.7476042711900335,0.43148815103036664
