Date,ADS.DE,AIR.PA,ALV.DE,BAS.DE,BAYN.DE,BEI.DE,BMW.DE,BNR.DE,CBK.DE,CON.DE,DTG.DE,DBK.DE,DB1.DE,DHL.DE,DTE.DE,EOAN.DE,FRE.DE,FME.DE,G1A.DE,HNR1.DE,HEI.DE,HEN3.DE,IFX.DE,MBG.DE,MRK.DE,MTX.DE,MUV2.DE,PAH3.DE,QIA.DE,RHM.DE,RWE.DE,SAP.DE,G24.DE,SIE.DE,ENR.DE,SHL.DE,SY1.DE,VOW3.DE,VNA.DE,ZAL.DE
2015-01-02,49.17755889892578,34.703407287597656,76.97698974609375,38.04072952270508,81.73086547851562,60.81052780151367,47.91740798950195,34.008853912353516,9.87203598022461,76.18498229980469,,18.272382736206055,45.54020309448242,17.24593162536621,8.56784439086914,7.704913139343262,34.88475799560547,47.65534210205078,27.202346801757812,46.44264602661133,43.54093933105469,67.80410766601562,7.753383636474609,27.563600540161133,66.22994232177734,62.463993072509766,99.41458129882812,44.745147705078125,19.047998428344727,29.498743057250977,18.33651351928711,48.29594421386719,,57.480674743652344,,,43.18073272705078,103.25719451904297,12.08948802947998,25.5
2015-01-05,47.721923828125,34.807865142822266,75.090576171875,36.4140739440918,78.98239135742188,59.83161926269531,46.32215881347656,33.458953857421875,9.550599098205566,74.9207763671875,,17.527158737182617,45.44797134399414,16.640478134155273,8.304667472839355,7.306621551513672,34.78224182128906,48.031761169433594,26.745349884033203,45.84634780883789,42.54814910888672,67.58880615234375,7.589401721954346,26.529212951660156,66.4172134399414,62.524837493896484,97.30387878417969,43.67575454711914,19.116710662841797,28.46622657775879,17.504661560058594,46.704322814941406,,55.74571228027344,,,43.16770553588867,99.74929809570312,11.88891887664795,24.700000762939453
2015-01-06,47.59990310668945,35.61434555053711,75.17503356933594,36.40315628051758,79.88648223876953,60.03102493286133,46.730499267578125,32.99762725830078,9.466938972473145,74.45502471923828,,17.302871704101562,45.23276138305664,16.736074447631836,8.207195281982422,7.287393093109131,35.13490295410156,47.961185455322266,26.445682525634766,46.156917572021484,42.510826110839844,68.47309112548828,7.396634101867676,26.705625534057617,66.76619720458984,63.43755340576172,96.91188049316406,44.33905029296875,18.380508422851562,28.54438591003418,17.354711532592773,45.65153121948242,,55.69666290283203,,,43.489200592041016,100.37165069580078,11.752363204956055,23.6299991607666
2015-01-07,48.07929992675781,36.541988372802734,75.8789291381836,36.643333435058594,79.88648223876953,60.58392333984375,46.98094940185547,32.635948181152344,9.449324607849121,74.74333953857422,,17.396930694580078,46.33956527709961,16.7679386138916,8.44112777709961,7.290139675140381,34.892967224121094,47.49851608276367,26.26962661743164,46.1879768371582,42.988555908203125,68.95750427246094,7.506536960601807,26.91411018371582,68.28128051757812,64.671875,96.76109313964844,44.50149154663086,18.60137176513672,28.46622657775879,17.211904525756836,45.48573303222656,,56.05223846435547,,,44.08875274658203,100.9940185546875,11.803571701049805,21.950000762939453
2015-01-08,49.665672302246094,37.78722381591797,77.87796783447266,38.13898468017578,84.2261734008789,62.478302001953125,48.66875457763672,33.241207122802734,9.594632148742676,77.24957275390625,,17.715274810791016,47.65387725830078,17.134403228759766,8.857012748718262,7.438469886779785,35.93043899536133,49.60798645019531,27.112442016601562,46.678672790527344,44.38443374633789,70.464599609375,7.7525105476379395,28.092823028564453,69.48995971679688,65.4976577758789,99.14319610595703,45.8213005065918,19.28849220275879,29.548105239868164,17.583206176757812,46.480506896972656,,57.88530731201172,,,45.131446838378906,104.0210189819336,11.893187522888184,22.549999237060547
2015-01-09,49.526206970214844,37.23146057128906,76.49834442138672,37.18373107910156,81.83934783935547,61.76224899291992,47.99908447265625,33.03822708129883,9.352455139160156,75.96319580078125,,17.299253463745117,47.346435546875,16.86672592163086,8.623078346252441,7.166530609130859,35.7213020324707,48.823795318603516,26.92140769958496,46.865020751953125,43.794734954833984,71.07205963134766,7.653075695037842,27.83222007751465,70.0432357788086,65.33251190185547,97.3340072631836,45.31367874145508,19.067630767822266,29.12441062927246,16.937000274658203,45.20389175415039,,56.702091217041016,,,45.1922721862793,102.3519287109375,11.758766174316406,22.5
2015-01-12,49.32573699951172,37.56575393676758,76.92068481445312,37.56037139892578,83.39440155029297,63.339393615722656,48.2658576965332,33.126800537109375,9.246777534484863,78.0923843383789,,17.299253463745117,47.65387725830078,16.962322235107422,8.840765953063965,7.177518367767334,36.90230941772461,49.239418029785156,27.273509979248047,46.84017562866211,44.45907974243164,71.61799621582031,7.726342678070068,28.465681076049805,70.8262939453125,65.36727905273438,98.32905578613281,45.44905471801758,19.067630767822266,28.85702133178711,16.494298934936523,47.29290008544922,,57.284507751464844,,,45.87871551513672,102.83283996582031,11.79930591583252,23.09000015258789
2015-01-13,49.072967529296875,38.0797233581543,78.46923065185547,38.77217483520508,85.63658142089844,63.49348831176758,49.34387969970703,33.24858856201172,9.722325325012207,81.2196273803711,,17.849123001098633,48.19191360473633,17.331972122192383,9.00322151184082,7.023695468902588,37.63633728027344,49.41978073120117,27.172372817993164,46.771846771240234,45.4593391418457,72.27159881591797,7.811823844909668,28.97486114501953,71.55831909179688,67.70553588867188,99.5050277709961,46.2883186340332,19.622236251831055,29.20667839050293,16.262231826782227,47.649356842041016,,57.53585433959961,,,45.739688873291016,105.12430572509766,11.7352933883667,24.3700008392334
2015-01-14,48.332069396972656,37.724544525146484,77.6527099609375,38.384613037109375,84.51549530029297,63.475372314453125,48.336639404296875,32.97917938232422,9.32163143157959,79.88887023925781,,17.50183868408203,47.3694953918457,17.13121795654297,8.931740760803223,6.913821220397949,37.8577766418457,49.75698471069336,26.561805725097656,47.0389404296875,45.42201614379883,71.71027374267578,7.842350006103516,28.585962295532227,71.22636413574219,68.0010986328125,98.81150817871094,45.252769470214844,19.416099548339844,28.93929100036621,15.780258178710938,46.81209182739258,,56.85535430908203,,,45.33999252319336,103.85128784179688,11.807840347290039,23.600000381469727
2015-01-15,49.16884231567383,38.66891098022461,79.2012710571289,39.27436065673828,87.15545654296875,67.02845764160156,49.58343505859375,33.59181213378906,9.422905921936035,82.1511459350586,,17.90700912475586,48.50703811645508,17.41800880432129,9.04220962524414,7.078633785247803,38.710723876953125,50.14908218383789,27.254789352416992,47.59175491333008,46.20579528808594,73.04820251464844,7.920853614807129,29.239469528198242,72.1456298828125,69.36579895019531,101.46497344970703,46.17325210571289,19.759662628173828,29.626262664794922,16.07301139831543,47.91462326049805,,58.02630615234375,,,45.939537048339844,105.52037811279297,12.048948287963867,23.600000381469727
