bin,rm_lo,rm_hi,rm_mean,n_obs,alpha,beta1,beta2,se_beta2,t_beta2,p_beta2,r2
1,0.0,0.002845812739261934,0.0013928538502946534,568,0.011462348476963948,2.162054237225388,-689.1653501904713,323.840495338645,-2.128101210658662,0.03332869297162592,0.018711178940248763
2,0.002850710538768237,0.005878798491991127,0.004390159021914334,567,0.016668050804590273,-1.4409375936939997,159.54449937857277,244.78973888945134,0.6517613855155265,0.5145551155882887,0.0012158942767064307
3,0.005882715880897437,0.009994714782602585,0.007872009354585707,567,0.022449201757265627,-2.8078727002960626,208.12097263648351,110.8614499587427,1.8773069693201392,0.06047603358143651,0.0353687679733794
4,0.010020074255337692,0.01608076910525822,0.012705683495598273,567,0.01773365333056617,-0.6549292225661926,31.92391768105808,59.3274235474074,0.5380971525848968,0.5905099781597472,0.006609455427896482
5,0.016125062623654113,0.1672658682056726,0.02533009134259875,568,0.007095603195501406,0.48661429267594414,-1.1534072665110215,0.4556433723322223,-2.5313816386865824,0.011361415535785428,0.4826415773570282
