Date,AR,lambda1,lambda1_rmt,excess_lambda1,n_assets
2015-04-06,0.2939661182889873,17.344000979050257,3.8719747396414195,4.479368318569266,59
2015-04-07,0.2884091108158123,17.016137538132924,3.8719747396414195,4.394692290711787,59
2015-04-08,0.2917749483031156,17.214721949883824,3.8719747396414195,4.445979921728019,59
2015-04-09,0.2829531212334489,16.694234152773483,3.8719747396414195,4.3115555434433235,59
2015-04-10,0.28399674894307775,16.755808187641584,3.8719747396414195,4.327458032227072,59
2015-04-13,0.27727713704485585,16.359351085646495,3.8719747396414195,4.225066583766381,59
2015-04-14,0.27353566163126214,16.138604036244473,3.8719747396414195,4.168055093701117,59
2015-04-15,0.27672922130846755,16.32702405719958,3.8719747396414195,4.216717606662799,59
2015-04-16,0.27983681407129674,16.510372030206504,3.8719747396414195,4.264070181339953,59
2015-04-17,0.28506279431457604,16.81870486455999,3.8719747396414195,4.343702114677938,59
2015-04-20,0.28212205842619187,16.645201447145325,3.8719747396414195,4.298892055449418,59
2015-04-22,0.26733866692814173,15.772981348760364,3.8719747396414195,4.0736271306927705,59
2015-04-23,0.27257042448516317,16.081655044624625,3.8719747396414195,4.153347097020043,59
2015-04-24,0.26587850811233205,15.686831978627595,3.8719747396414195,4.051377664741775,59
2015-04-27,0.2715819549538332,16.023335342276155,3.8719747396414195,4.138285092159476,59
2015-04-28,0.26609472626926517,15.699588849886648,3.8719747396414195,4.0546723327385585,59
2015-04-29,0.2673394623034634,15.773028275904338,3.8719747396414195,4.073639250385468,59
2015-04-30,0.266546305294152,15.726232012354966,3.8719747396414195,4.061553359671804,59
2015-05-04,0.263465870183078,15.80795221098468,3.904181098278019,4.048980263225225,60
2015-05-05,0.2630497681181819,15.782986087090919,3.904181098278019,4.042585548619191,60
2015-05-06,0.25440096689326114,15.264058013595665,3.904181098278019,3.909669564336563,60
2015-05-07,0.25304518142732824,15.182710885639693,3.904181098278019,3.888833664077773,60
2015-05-08,0.2532894729129695,15.197368374778172,3.904181098278019,3.892587969723314,60
2015-05-11,0.25791046911930865,15.474628147158516,3.904181098278019,3.9636040843453104,60
2015-05-12,0.25933750173666,15.5602501041996,3.904181098278019,3.985534920770611,60
2015-05-13,0.2566547277499997,15.399283664999981,3.904181098278019,3.9443056757259547,60
2015-05-14,0.25450338972840875,15.270203383704526,3.904181098278019,3.9112436127616146,60
2015-05-15,0.2505149359872779,15.030896159236676,3.904181098278019,3.849948499024857,60
2015-05-18,0.2571765953870251,15.430595723221504,3.904181098278019,3.9523258104054997,60
2015-05-19,0.2526570012045857,15.159420072275143,3.904181098278019,3.8828680562388276,60
2015-05-20,0.24379473288565373,14.627683973139224,3.904181098278019,3.746671479863196,60
2015-05-21,0.24010888463951377,14.406533078370828,3.904181098278019,3.6900268496061783,60
2015-05-22,0.2436771364844779,14.620628189068675,3.904181098278019,3.7448642419577465,60
2015-05-25,0.24214714924563246,14.52882895473795,3.904181098278019,3.721351184540606,60
2015-05-26,0.2495806599911506,14.974839599469036,3.904181098278019,3.8355904151254276,60
2015-05-27,0.24800813916196435,14.880488349717865,3.904181098278019,3.8114236955557885,60
2015-05-28,0.2506783022835919,15.040698137015514,3.904181098278019,3.8524591350666024,60
2015-05-29,0.256771300990524,15.406278059431443,3.904181098278019,3.946097189555717,60
2015-06-01,0.2585692177383053,15.514153064298318,3.904181098278019,3.9737278250593966,60
2015-06-02,0.26091851001317734,15.655110600790636,3.904181098278019,4.009832076615373,60
2015-06-03,0.2624582406366771,15.747494438200626,3.904181098278019,4.033494871727704,60
2015-06-05,0.2617048928064313,15.702293568385876,3.904181098278019,4.021917317132533,60
2015-06-08,0.26327456672339256,15.796474003403556,3.904181098278019,4.046040284957775,60
2015-06-09,0.2624932691610565,15.74959614966339,3.904181098278019,4.034033194979075,60
2015-06-10,0.258281949857665,15.496916991459909,3.904181098278019,3.969313052177572,60
2015-06-11,0.2595945389507024,15.575672337042143,3.904181098278019,3.989485104549059,60
2015-06-12,0.26328032678831803,15.796819607299081,3.904181098278019,4.0461288064394445,60
2015-06-15,0.2660602829043991,15.963616974263946,3.904181098278019,4.088851560012129,60
