Date,ALOS3.SA,ABEV3.SA,ASAI3.SA,AURE3.SA,AXIA3.SA,AZZA3.SA,B3SA3.SA,BBSE3.SA,BBDC3.SA,BBDC4.SA,BRAP4.SA,BBAS3.SA,BRKM5.SA,BRAV3.SA,BPAC11.SA,CXSE3.SA,CEAB3.SA,CMIG4.SA,COGN3.SA,CSMG3.SA,CPLE3.SA,CSAN3.SA,CPFE3.SA,CMIN3.SA,CURY3.SA,CYRE3.SA,DIRR3.SA,EMBJ3.SA,ENGI11.SA,ENEV3.SA,EGIE3.SA,EQTL3.SA,FLRY3.SA,GGBR4.SA,GOAU4.SA,HAPV3.SA,HYPE3.SA,IGTI11.SA,ISAE4.SA,ITSA4.SA,ITUB4.SA,KLBN11.SA,RENT3.SA,LREN3.SA,MGLU3.SA,POMO4.SA,MBRF3.SA,BEEF3.SA,MOTV3.SA,MRVE3.SA,MULT3.SA,NATU3.SA,PETR3.SA,PETR4.SA,RECV3.SA,PSSA3.SA,PRIO3.SA,RADL3.SA,RDOR3.SA,RAIL3.SA,SBSP3.SA,SANB11.SA,CSNA3.SA,SLCE3.SA,SMFT3.SA,SUZB3.SA,TAEE11.SA,VIVT3.SA,TIMS3.SA,TOTS3.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VAMO3.SA,VBBR3.SA,VIVA3.SA,WEGE3.SA,YDUQ3.SA
2015-01-02,11.650343894958496,9.754725456237793,,,4.213099002838135,17.79405403137207,2.0808217525482178,11.8447904586792,7.066845893859863,7.163646221160889,1.3892759084701538,5.4164018630981445,10.97887897491455,,,,,2.26678729057312,11.208672523498535,3.4574389457702637,1.1492974758148193,5.104053497314453,10.580087661743164,,,6.152503967285156,1.201202392578125,23.737581253051758,8.111858367919922,5.989071846008301,9.14396858215332,4.300580978393555,4.603596210479736,4.418922424316406,4.330081939697266,,11.147794723510742,,4.169007301330566,2.3206918239593506,8.511869430541992,7.8166093826293945,8.248523712158203,7.714445114135742,1.8851021528244019,1.319392204284668,3.4637081623077393,7.144008636474609,9.967610359191895,4.4846625328063965,10.880375862121582,28.889516830444336,2.49652361869812,2.418379783630371,,8.49116039276123,0.43929439783096313,4.1385817527771,,,2.4443674087524414,5.91281270980835,2.9368209838867188,1.4599645137786865,,16.61225700378418,5.939333438873291,8.538955688476562,6.708864688873291,9.894806861877441,8.210074424743652,3.7322912216186523,9.982888221740723,,,,4.71926736831665,14.76174259185791
2015-01-05,10.998478889465332,9.578140258789062,,,4.131219387054443,17.236480712890625,2.023932695388794,11.489645004272461,6.979736804962158,7.1784234046936035,1.375976324081421,5.304008960723877,10.316740989685059,,,,,2.208346366882324,10.390746116638184,3.621946096420288,1.1023286581039429,4.801115036010742,10.443068504333496,,,6.311467170715332,1.1432950496673584,23.212202072143555,6.725469589233398,5.561281204223633,9.155184745788574,4.136376857757568,4.4108195304870605,4.216529369354248,4.1259846687316895,,11.168453216552734,,4.174129009246826,2.3282830715179443,8.554642677307129,7.625157356262207,7.905617713928223,7.499985218048096,1.9205269813537598,1.323662281036377,3.200563430786133,6.80489444732666,9.683207511901855,4.404026031494141,10.865626335144043,28.57611846923828,2.2940282821655273,2.2116808891296387,,8.474726676940918,0.4063473343849182,4.110428810119629,,,2.4443674087524414,5.870978355407715,2.7922921180725098,1.4599645137786865,,16.61225700378418,5.917275905609131,8.369625091552734,6.548858165740967,9.590776443481445,7.991288185119629,3.5063281059265137,9.83276653289795,,,,4.751445293426514,13.878046989440918
2015-01-06,10.64480972290039,9.943487167358398,,,4.168437480926514,16.899185180664062,2.0436251163482666,11.977484703063965,7.165863513946533,7.414568901062012,1.4373581409454346,5.378140926361084,10.096028327941895,,,,,2.188866138458252,9.693987846374512,3.6484341621398926,1.0855540037155151,4.612009048461914,10.633705139160156,,,6.488095283508301,1.1106297969818115,22.79189682006836,6.725469589233398,5.703877925872803,9.340251922607422,4.36939001083374,4.347519874572754,4.6598663330078125,4.530179977416992,,10.913684844970703,,4.150569438934326,2.345998525619507,8.693026542663574,7.8767781257629395,8.065329551696777,7.586381912231445,1.8952232599258423,1.3364717960357666,3.151606559753418,6.706925868988037,9.825407028198242,4.521882057189941,11.406447410583496,28.443166732788086,2.23577618598938,2.139336347579956,,8.367902755737305,0.3664114773273468,4.229666233062744,,,2.4370925426483154,5.91281270980835,3.0177576541900635,1.4771406650543213,,16.61225700378418,5.926731109619141,8.161909103393555,6.537428855895996,8.991005897521973,8.002634048461914,3.677748441696167,10.226828575134277,,,,4.680963039398193,13.067994117736816
2015-01-07,10.748830795288086,10.083536148071289,,,4.317309856414795,17.071271896362305,2.124582529067993,11.786253929138184,7.482279300689697,7.709226608276367,1.475210428237915,5.614881992340088,10.089720726013184,,,,,2.188866138458252,9.550093650817871,3.7543907165527344,1.1406705379486084,4.679940223693848,11.009008407592773,,,6.658835411071777,1.13141667842865,22.619956970214844,6.725469589233398,5.846475124359131,9.575791358947754,4.331857681274414,4.31587028503418,5.002008438110352,4.862339019775391,,11.567813873291016,,4.269391059875488,2.434575319290161,9.00753402709961,7.958827972412109,8.149879455566406,7.715463161468506,1.9584821462631226,1.383440375328064,3.2617599964141846,7.151544094085693,10.56350040435791,4.6211256980896,11.799775123596191,29.658763885498047,2.3439583778381348,2.2401015758514404,,8.381597518920898,0.3654130697250366,4.3025336265563965,,,2.4880170822143555,6.159181118011475,3.3472824096679688,1.5243743658065796,,16.61225700378418,5.936181545257568,8.441873550415039,6.560288429260254,8.927435874938965,8.21979808807373,3.8959197998046875,10.60212516784668,,,,4.627334117889404,12.659616470336914
2015-01-08,10.783502578735352,10.691132545471191,,,4.2354302406311035,16.988672256469727,2.0961387157440186,11.751128196716309,7.498819351196289,7.748936653137207,1.4966943264007568,5.634012699127197,10.114946365356445,,,,,2.171157121658325,10.2998628616333,3.7083826065063477,1.1401911973953247,4.736856460571289,11.235383987426758,,,6.71182107925415,1.152203917503357,21.970394134521484,6.725469589233398,5.989071846008301,9.673930168151855,4.300580978393555,4.258325576782227,4.886354446411133,4.69826078414917,,11.540270805358887,,4.297049045562744,2.4598822593688965,9.148435592651367,7.953357219696045,8.011308670043945,7.724611282348633,1.9432997703552246,1.387710690498352,3.3229565620422363,7.121399879455566,10.685385704040527,4.676952362060547,11.67440128326416,29.440336227416992,2.5020711421966553,2.3847908973693848,,8.326814651489258,0.37739384174346924,4.314126491546631,,,2.4967474937438965,6.056915283203125,3.237440824508667,1.5286684036254883,,16.61225700378418,5.992897033691406,8.785051345825195,6.857446193695068,9.134733200073242,8.135525703430176,3.7011234760284424,10.71471118927002,,,,4.705476760864258,13.05460262298584
2015-01-09,10.88752555847168,10.665276527404785,,,4.146106243133545,16.802820205688477,2.041437864303589,11.368659019470215,7.236177921295166,7.412477493286133,1.4660032987594604,5.390096187591553,9.894232749938965,,,,,2.0950069427490234,10.057513236999512,3.673529624938965,1.1023286581039429,4.589977741241455,10.621788024902344,,,6.352682113647461,1.0957818031311035,21.779346466064453,6.725469589233398,5.989071846008301,8.930863380432129,4.066003799438477,4.2439398765563965,4.664684772491455,4.446139812469482,,11.347476959228516,,3.9416086673736572,2.373837471008301,8.748379707336426,7.958827972412109,8.039490699768066,7.450183391571045,1.8775111436843872,1.4005206823349,3.371912717819214,6.993290424346924,10.529643058776855,4.453649044036865,11.750608444213867,28.899015426635742,2.576967477798462,2.457136392593384,,8.198077201843262,0.43729761242866516,4.247882843017578,,,2.4385476112365723,5.996485233306885,3.098693609237671,1.5136393308639526,,16.61225700378418,5.951935768127441,8.64507007598877,6.703150272369385,9.04075813293457,8.036664962768555,3.5530784130096436,10.484845161437988,,,,4.684027194976807,12.719870567321777
2015-01-12,10.90139389038086,10.801018714904785,,,4.146106243133545,16.62384605407715,1.9823602437973022,11.630144119262695,7.114160537719727,7.280824184417725,1.4506573677062988,5.2968363761901855,10.083415031433105,,,,,2.0259408950805664,9.178995132446289,3.4142208099365234,1.0544015169143677,4.303562641143799,10.42519474029541,,,6.211379051208496,1.0839033126831055,21.884424209594727,6.725469589233398,5.418684005737305,8.678500175476074,4.0206522941589355,4.200779438018799,4.553851127624512,4.330081939697266,,11.195996284484863,,3.9303393363952637,2.3333451747894287,8.537034034729004,7.909597396850586,8.067676544189453,7.55182409286499,1.897754192352295,1.3407421112060547,3.2617599964141846,6.782286643981934,10.428071022033691,4.3419976234436035,11.578529357910156,28.766056060791016,2.4327235221862793,2.2840256690979004,,7.970736026763916,0.3783922493457794,4.441647529602051,,,2.4050827026367188,5.875624656677246,3.0466623306274414,1.5501385927200317,,16.61225700378418,5.885766506195068,8.658620834350586,6.6688642501831055,9.590776443481445,7.882709980010986,3.412825584411621,10.620889663696289,,,,4.657977104187012,11.407715797424316
2015-01-13,11.372952461242676,10.801018714904785,,,4.108889102935791,16.74774932861328,1.9867360591888428,11.38817310333252,7.041781902313232,7.303805828094482,1.4885097742080688,5.265746116638184,9.976210594177246,,,,,2.0542755126953125,9.800016403198242,3.2092838287353516,1.0687795877456665,4.553257465362549,10.711145401000977,,,6.211379051208496,1.0824183225631714,21.607410430908203,6.725469589233398,5.561281204223633,8.75140380859375,4.056620121002197,4.174885272979736,4.423740863800049,4.230034351348877,,11.195996284484863,,3.9282913208007812,2.3409371376037598,8.526965141296387,7.838490962982178,8.088813781738281,7.52641487121582,1.8775111436843872,1.3749009370803833,3.1699655055999756,6.917930603027344,10.665070533752441,4.4412431716918945,11.792399406433105,28.57611846923828,2.449367046356201,2.348618745803833,,7.85295295715332,0.3724018633365631,4.347251892089844,,,2.2697691917419434,5.861680030822754,2.9426026344299316,1.5941519737243652,,16.61225700378418,5.9865946769714355,8.888914108276367,6.6974358558654785,9.259106636047363,7.958878040313721,3.288156270980835,10.559903144836426,,,,4.67483377456665,11.588471412658691
2015-01-14,10.88752555847168,10.83333683013916,,,4.198212623596191,16.761516571044922,2.026120901107788,11.193037033081055,7.124504566192627,7.381128311157227,1.3708614110946655,5.304008960723877,9.377134323120117,,,,,2.064901828765869,9.84545612335205,3.0322301387786865,1.0831576585769653,4.604665279388428,11.181766510009766,,,6.187829971313477,1.0378745794296265,20.4420166015625,6.489488124847412,5.989071846008301,9.225285530090332,4.175472736358643,4.177762508392334,4.255080223083496,4.081963539123535,,11.223536491394043,,3.9713127613067627,2.353592872619629,8.5848388671875,7.685328483581543,8.262616157531738,7.460347652435303,1.8471472263336182,1.3749009370803833,2.974137306213379,6.917930603027344,10.874987602233887,4.3916192054748535,11.814523696899414,28.405176162719727,2.357827663421631,2.3021113872528076,,8.0474271774292,0.34444674849510193,4.307505130767822,,,2.2421255111694336,5.94070291519165,2.861666440963745,1.5887845754623413,,16.61225700378418,6.071669101715088,8.988253593444824,6.680291652679443,9.190007209777832,8.023701667785645,3.1868624687194824,9.710795402526855,,,,4.749911308288574,11.903120994567871
2015-01-15,11.324410438537598,10.852728843688965,,,4.153550148010254,16.58942985534668,2.017368793487549,11.41549301147461,7.0728020668029785,7.3058953285217285,1.3800687789916992,5.270528793334961,9.440195083618164,,,,,2.1056323051452637,9.542522430419922,3.1744298934936523,1.099932312965393,4.843344211578369,10.955395698547363,,,6.287917613983154,1.0007545948028564,20.604406356811523,6.489488124847412,5.703877925872803,9.211263656616211,4.105099678039551,4.2036566734313965,4.327363014221191,4.129986763000488,,11.739957809448242,,3.987701177597046,2.34852933883667,8.509355545043945,7.6306281089782715,8.314288139343262,7.5436906814575195,1.8620249032974243,1.362091302871704,3.1760847568511963,7.272118091583252,10.949474334716797,4.2675628662109375,12.389761924743652,28.889516830444336,2.5658717155456543,2.4054605960845947,,7.737912178039551,0.3454451262950897,4.30584716796875,,,2.279954195022583,6.135937213897705,2.8154172897338867,1.5941519737243652,,16.61225700378418,6.166192054748535,9.144043922424316,6.840302467346191,9.010354995727539,8.04801082611084,3.1868624687194824,9.823384284973145,,,,4.749911308288574,11.44118881225586
