Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BEL.NS,BHARTIARTL.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,ETERNAL.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDIGO.NS,INFY.NS,ITC.NS,JIOFIN.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,MAXHEALTH.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SHRIRAMFIN.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,TATACONSUM.NS,TMPV.NS,TATASTEEL.NS,TECHM.NS,TITAN.NS,TRENT.NS,ULTRACEMCO.NS,WIPRO.NS
2015-01-01,70.72974395751953,300.50640869140625,1082.7415771484375,684.9315185546875,486.9628601074219,1819.7493896484375,33.75812911987305,127.90367889404297,24.453001022338867,308.0735168457031,581.434326171875,152.53900146484375,597.1714477539062,1410.3421630859375,,492.4530944824219,290.8067932128906,213.7008514404297,,146.67153930664062,633.1719970703125,294.02386474609375,,359.9810485839844,156.94802856445312,,94.50640106201172,124.9589614868164,840.1275634765625,559.4361572265625,3032.03466796875,,276.7253112792969,79.63382720947266,129.91127014160156,47.74596405029297,189.12538146972656,,185.3475799560547,274.9249572753906,752.9395751953125,975.6510009765625,131.5405731201172,480.2580261230469,28.314111709594727,462.6291809082031,362.72369384765625,144.97703552246094,2548.02880859375,91.15482330322266
2015-01-02,71.076171875,300.31829833984375,1084.6170654296875,708.611328125,497.8531188964844,1819.4527587890625,33.21842956542969,126.81512451171875,24.330711364746094,309.8987731933594,583.0535888671875,153.22132873535156,599.198974609375,1393.671875,,505.942138671875,290.52630615234375,216.6750030517578,,148.1988525390625,631.0847778320312,302.3697509765625,,367.05517578125,157.43966674804688,,94.79457092285156,126.24468231201172,857.847412109375,553.8285522460938,3049.14306640625,,277.3188171386719,80.72391510009766,131.85585021972656,48.32057571411133,188.62478637695312,,185.97811889648438,276.01947021484375,756.6483154296875,988.6439819335938,133.11172485351562,493.12078857421875,28.755142211914062,464.89373779296875,365.5888977050781,143.70120239257812,2624.206298828125,91.96337890625
2015-01-05,72.25260162353516,304.50311279296875,1088.2232666015625,708.565673828125,500.9991455078125,1826.094482421875,33.131614685058594,125.13008880615234,23.871076583862305,303.0224609375,585.6907348632812,152.61927795410156,585.6205444335938,1400.0111083984375,,507.8454284667969,285.6396484375,214.84559631347656,,145.19046020507812,634.7162475585938,302.99560546875,,363.90106201171875,158.0594940185547,,94.5684814453125,125.73834228515625,869.7818603515625,551.0245361328125,3129.192138671875,,277.4678039550781,80.50030517578125,133.3473358154297,48.37281799316406,186.5586700439453,,180.17730712890625,273.8305358886719,757.1060180664062,973.6192016601562,133.50448608398438,504.6828308105469,29.171688079833984,457.1373291015625,368.54949951171875,143.86740112304688,2629.5654296875,92.12840270996094
2015-01-06,71.7040786743164,302.6693420410156,1055.81494140625,691.6515502929688,483.09075927734375,1811.8458251953125,33.0457649230957,122.23717498779297,23.555362701416016,300.6454772949219,568.4344482421875,152.49888610839844,570.2100219726562,1363.542724609375,,488.480224609375,278.01116943359375,211.50111389160156,,141.99691772460938,646.7377319335938,290.14306640625,,356.29803466796875,153.9984893798828,,91.11946105957031,124.2391586303711,840.7703247070312,547.949462890625,3081.498291015625,,273.6089172363281,77.81695556640625,125.79544830322266,47.29322052001953,178.09181213378906,,175.78048706054688,262.5796813964844,740.439453125,937.7260131835938,129.31475830078125,483.1003723144531,27.75755500793457,452.2338562011719,355.9429931640625,141.84854125976562,2555.780517578125,89.9749526977539
2015-01-07,71.0689468383789,301.964111328125,1064.0855712890625,705.548583984375,482.7035827636719,1816.0760498046875,33.71857833862305,122.13280487060547,26.72954559326172,301.36700439453125,566.2138671875,150.39169311523438,565.3087768554688,1382.3939208984375,,494.6241149902344,271.40509033203125,212.11837768554688,,137.83140563964844,669.445068359375,282.2979431152344,,358.0028991699219,151.13436889648438,,89.71414947509766,126.23973846435547,838.7581176757812,553.6022338867188,3120.071044921875,,274.7542419433594,79.68970489501953,127.64564514160156,47.97233200073242,181.96849060058594,,174.86416625976562,262.79852294921875,741.583984375,926.648681640625,129.5766143798828,475.825927734375,27.225505828857422,450.1207580566406,357.7575988769531,145.52940368652344,2545.68359375,89.29012298583984
2015-01-08,73.8692855834961,314.612548828125,1083.174560546875,750.0282592773438,485.8980712890625,1818.450439453125,33.66118240356445,128.2218017578125,26.159685134887695,306.5879211425781,571.9966430664062,152.2981719970703,570.3494262695312,1374.4281005859375,,495.7023010253906,277.6854248046875,216.573974609375,,141.21009826660156,682.0924072265625,289.9761962890625,,359.807861328125,154.91751098632812,,90.6229476928711,133.10525512695312,844.0963745117188,559.6848754882812,3154.332763671875,,275.9588317871094,81.0313720703125,129.0616455078125,48.18126678466797,179.35919189453125,,177.11720275878906,266.91363525390625,749.8258666992188,936.6526489257812,134.15914916992188,493.3135070800781,27.6490421295166,457.65435791015625,356.1340026855469,146.88836669921875,2610.185791015625,89.93368530273438
2015-01-09,73.13311004638672,311.41510009765625,1081.5399169921875,742.8511962890625,479.1219482421875,1763.1270751953125,33.279205322265625,127.16802215576172,26.639699935913086,302.0461730957031,585.0891723632812,150.53219604492188,588.485107421875,1361.95361328125,,492.749755859375,279.72149658203125,218.99819946289062,,143.4779815673828,721.788330078125,285.3024597167969,,378.2225341796875,152.56639099121094,,89.81167602539062,135.1206817626953,838.6183471679688,559.9561767578125,3147.707275390625,,279.72125244140625,78.40394592285156,132.5355224609375,48.21611022949219,183.24649047851562,,178.411865234375,265.4690246582031,760.1281127929688,962.9069213867188,135.81761169433594,503.23760986328125,27.97807502746582,477.927978515625,356.1340026855469,143.93092346191406,2612.00439453125,91.33631896972656
2015-01-12,74.27345275878906,308.87603759765625,1075.5772705078125,738.5083618164062,485.5107727050781,1732.06982421875,33.16490173339844,126.0247802734375,26.746604919433594,296.23114013671875,583.6087646484375,143.62869262695312,596.5670166015625,1372.9453125,,497.236572265625,285.1510009765625,217.0678253173828,,139.86788940429688,748.5026245117188,289.2249755859375,,385.78900146484375,152.97251892089844,,88.72555541992188,136.11849975585938,857.5958862304688,557.6044921875,3142.89697265625,,283.0675048828125,78.26419067382812,131.28944396972656,47.5369987487793,181.11647033691406,,175.00706481933594,268.8836669921875,764.9359130859375,961.9103393554688,137.34512329101562,503.23760986328125,27.775056838989258,491.0603942871094,359.858642578125,141.58946228027344,2584.203369140625,91.75711059570312
2015-01-13,71.69686889648438,303.75079345703125,1106.01416015625,762.370849609375,488.36651611328125,1724.723388671875,33.59703826904297,127.88874816894531,27.727434158325195,293.9814758300781,588.83642578125,144.9732666015625,599.5616455078125,1367.5394287109375,,513.2728881835938,286.60791015625,216.23728942871094,,140.4232940673828,738.443115234375,284.5095520019531,,380.8571472167969,153.934326171875,,88.0827407836914,138.2977752685547,849.3787231445312,564.7499389648438,3147.752685546875,,294.1007995605469,77.67719268798828,128.3630828857422,47.310630798339844,179.593505859375,,174.7800750732422,267.132568359375,762.9212646484375,957.3878173828125,135.51211547851562,500.4916076660156,27.407522201538086,492.32635498046875,355.4654541015625,139.1404266357422,2697.321533203125,92.98648071289062
2015-01-14,70.92461395263672,311.5091857910156,1116.0635986328125,770.4166259765625,483.6231994628906,1753.9248046875,36.40354537963867,124.6827163696289,27.36222267150879,293.5570068359375,584.210205078125,145.77601623535156,596.7530517578125,1370.7181396484375,,516.232666015625,285.7391052246094,216.36077880859375,,131.5831756591797,771.4188232421875,281.1712646484375,,388.1045837402344,148.6763458251953,,85.8484115600586,138.12403869628906,848.540283203125,559.3909912109375,3191.090576171875,,297.0440673828125,77.0063705444336,129.91127014160156,47.38029098510742,177.8468475341797,,173.888916015625,266.7823181152344,751.52001953125,966.60546875,135.16294860839844,501.3587341308594,26.381927490234375,497.7559509277344,354.8924255371094,136.43231201171875,2783.787353515625,91.08055877685547
